This is Ipopt version 3.14.11, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    76153
Number of nonzeros in inequality constraint Jacobian.:      602
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      301
                     variables with only lower bounds:      100
                variables with lower and upper bounds:       51
                     variables with only upper bounds:        0
Total number of equality constraints.................:      253
Total number of inequality constraints...............:        2
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  5.8052303e-03 2.96e+07 2.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  7.2433831e-03 2.96e+07 2.32e+03   1.4 1.53e+03    -  5.38e-01 2.48e-04f  2
   2  1.7069527e-02 2.96e+07 2.34e+03   1.1 1.67e+03    -  1.12e-03 8.76e-04f  4
   3  1.7783945e-01 2.94e+07 1.78e+03   1.1 1.66e+03    -  2.98e-03 7.41e-03h  1
   4  2.7810938e-01 2.92e+07 2.30e+05   2.4 1.75e+03    -  6.08e-01 6.73e-03h  1
   5  3.1136216e-01 2.90e+07 2.36e+05   0.1 1.97e+03    -  1.80e-02 5.50e-03h  1
   6  3.2056575e-01 2.89e+07 9.65e+05   3.2 2.08e+03    -  1.00e+00 2.90e-03f  1
   7  8.9505050e-01 2.62e+07 8.38e+05  -2.8 1.90e+03    -  3.49e-02 9.21e-02h  1
   8  1.0210669e+00 2.58e+07 1.25e+06   3.6 1.84e+03    -  4.26e-01 2.37e-02f  1
   9  1.7408666e+00 2.28e+07 1.62e+06   3.0 1.90e+03    -  1.00e+00 1.18e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.0434999e+00 2.15e+07 1.54e+06   3.0 1.80e+03    -  1.00e+00 5.75e-02h  1
  11  3.2638185e+00 1.62e+07 2.10e+06   2.7 1.69e+03    -  1.00e+00 2.45e-01h  1
  12  5.3332093e+00 7.37e+06 3.95e+06   2.0 1.27e+03    -  1.00e+00 5.45e-01h  1
  13  6.6207695e+00 1.96e+06 2.22e+06   1.6 5.69e+02    -  1.00e+00 7.34e-01h  1
  14  7.1361559e+00 1.01e+04 8.83e+04   0.3 1.46e+02    -  1.00e+00 1.00e+00h  1
  15  7.0530153e+00 1.49e+05 7.35e+04   1.3 4.74e+00    -  9.99e-01 6.02e-01f  1
  16  7.0598976e+00 1.39e-03 2.20e-01  -0.5 1.80e-01    -  1.00e+00 1.00e+00f  1
  17  7.0570030e+00 7.48e-05 3.35e-02  -1.9 3.34e-02    -  9.93e-01 1.00e+00f  1
  18  6.7415616e+00 1.82e+06 1.88e+01  -7.9 9.17e+00    -  1.11e-01 8.71e-01f  1
  19  6.6546932e+00 1.27e+06 1.06e+01  -1.7 5.05e+00    -  1.00e+00 3.01e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  6.3582138e+00 9.72e+05 7.02e+00  -1.4 1.77e+01    -  4.70e-01 4.04e-01f  1
  21  6.3992244e+00 6.67e+05 6.34e+00  -1.6 6.95e+00    -  9.41e-01 3.14e-01h  1
